Country,1930Finish,1934Finish,1938Finish,1950Finish,1954Finish,1958Finish,1962Finish,1966Finish,1970Finish,1974Finish,1978Finish,1982Finish,1986Finish,1990Finish,1994Finish,1998Finish,2002Finish,2006Finish,2010Finish,2014Finish,GoalsScored,AllTimeRecord,HighestEverFinish,WorldCupWins,GoalsPerGame,GoalsConceded,GoalsConcededPerGame
Iraq,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,1,0-3-0,Group Stage-1986,0,0.3333333333333333,4,1.3333333333333333
Canada,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-3-0,Group Stage-1986,0,0,5,1.6666666666666667
Denmark,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Quarterfinalists,Round of 16,Did Not Qualify,Group Stage,Did Not Qualify,27,8-6-2,Quarterfinalists-1998,0,1.6875,24,1.5
Costa Rica,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Quarterfinalists,17,6-7-2,Quarterfinalists-2014,0,1.1333333333333333,23,1.5333333333333334
United Arab Emirates,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,0-3-0,Group Stage-1990,0,0.6666666666666666,11,3.6666666666666665
Republic of Ireland,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Round of 16,Did Not Qualify,Round of 16,Did Not Qualify,Did Not Qualify,Did Not Qualify,10,3-3-7,Quarterfinalists-1990,0,0.7692307692307693,10,0.7692307692307693
Russia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Group Stage,13,2-5-2,Group Stage-2014,0,1.4444444444444444,13,1.4444444444444444
Greece,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,5,3-6-1,Round of 16-2014,0,0.5,20,2
Nigeria,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Round of 16,Group Stage,Did Not Qualify,Group Stage,Round of 16,20,5-10-3,Round of 16-2014,0,1.1111111111111112,26,1.4444444444444444
Saudi Arabia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Group Stage,Group Stage,Group Stage,Did Not Qualify,Did Not Qualify,9,2-9-2,Round of 16-1994,0,0.6923076923076923,32,2.4615384615384617
South Africa,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,11,2-3-4,Group Stage-2010,0,1.2222222222222223,16,1.7777777777777777
Japan,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Group Stage,Round of 16,Group Stage,14,5-9-3,Round of 16-2010,0,0.8235294117647058,22,1.2941176470588236
Jamaica,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,3,1-2-0,Group Stage-1998,0,1,9,3
Croatia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Third Place,Group Stage,Group Stage,Did Not Qualify,Group Stage,21,7-7-2,Third Place-1998,0,1.3125,17,1.0625
Senegal,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,Did Not Qualify,7,2-1-2,Quarterfinalists-2002,0,1.4,6,1.2
Slovenia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Group Stage,Did Not Qualify,5,1-4-1,Group Stage-2010,0,0.8333333333333334,10,1.6666666666666667
China PR,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,Did Not Qualify,0,0-3-0,Group Stage-2002,0,0,9,3
Ecuador,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Round of 16,Did Not Qualify,Group Stage,10,4-5-1,Round of 16-2006,0,1,11,1.1
Trinidad and Tobago,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,0,0-2-1,Group Stage-2006,0,0,4,1.3333333333333333
Cote d'Ivoire,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Group Stage,Group Stage,13,3-5-1,Group Stage-2014,0,1.4444444444444444,14,1.5555555555555556
Serbia and Montenegro,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,2,0-3-0,Group Stage-2006,0,0.6666666666666666,10,3.3333333333333335
Angola,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,1,0-1-2,Group Stage-2006,0,0.3333333333333333,2,0.6666666666666666
Czech Republic,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,3,1-2-0,Group Stage-2006,0,1,4,1.3333333333333333
Ghana,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Quarterfinalists,Group Stage,13,5-5-2,Quarterfinalists-2010,0,1.0833333333333333,16,1.3333333333333333
Togo,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,Did Not Qualify,1,0-3-0,Group Stage-2006,0,0.3333333333333333,6,2
Ukraine,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Quarterfinalists,Did Not Qualify,Did Not Qualify,5,2-2-1,Quarterfinalists-2006,0,1,7,1.4
Serbia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,Did Not Qualify,2,1-2-0,Group Stage-2010,0,0.6666666666666666,3,1
Slovakia,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Round of 16,Did Not Qualify,5,1-2-1,Round of 16-2010,0,1.25,7,1.75
Bosnia and Herzegovina,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Group Stage,4,1-2-0,Group Stage-2014,0,1.3333333333333333,4,1.3333333333333333
